x,y,class_id,class_name,B02,B03,B04,B05,B06,B07,B08,B8A,B11,B12
648987.2670039503,5588892.388463474,10,Forest,0.032604373168945315,0.04527906188964844,0.03353866882324219,0.06980161743164062,0.1458650146484375,0.169683544921875,0.16792291259765624,0.18695728759765626,0.09414718017578125,0.05175067138671875
647181.6260439024,5593533.435669912,10,Forest,0.04147817687988281,0.07516030883789063,0.04239295959472656,0.13087862548828125,0.312862109375,0.3619467529296875,0.459033349609375,0.39715185546875,0.2238510009765625,0.11875013427734375
649896.9460596106,5574750.149899359,10,Forest,0.07145803833007812,0.106129150390625,0.05262188720703125,0.1339408447265625,0.274615771484375,0.3103720458984375,0.3086473876953125,0.3232527587890625,0.14279827880859375,0.0798426025390625
659071.491948636,5577938.560758558,10,Forest,0.03350146484375,0.0567478271484375,0.03813799133300781,0.09152189331054687,0.2645103271484375,0.3197989013671875,0.2959697021484375,0.3263819091796875,0.1427609619140625,0.0789050048828125
647909.7228047925,5594787.042702507,10,Forest,0.579583984375,0.511853564453125,0.8665751953125,0.85591103515625,0.811467724609375,0.796078369140625,0.8940392578125,0.7768240234375,0.2357875732421875,0.1872189453125
644344.305146984,5591702.528539395,10,Forest,0.030530487060546875,0.033534414672851565,0.03718501281738281,0.07125909423828125,0.126956591796875,0.1446156982421875,0.1141308837890625,0.15985823974609376,0.08348298950195313,0.050270834350585936
652969.3682712811,5591472.867009603,10,Forest,0.054419671630859374,0.06545020751953125,0.051372698974609374,0.10579703369140625,0.24447509765625,0.2880009521484375,0.2912498779296875,0.3136872314453125,0.1371451904296875,0.11345281982421875
663042.1836743152,5592544.487621123,10,Forest,0.04199710083007813,0.06470518188476562,0.04534826965332031,0.08960215454101562,0.2291785400390625,0.2773291748046875,0.2672637451171875,0.295548974609375,0.1541903076171875,0.088006689453125
643268.3137048748,5578108.582639172,10,Forest,0.033280874633789065,0.05694044799804687,0.025406425476074218,0.08210242919921874,0.2693143310546875,0.3237729736328125,0.331172119140625,0.347066162109375,0.15311580810546874,0.0712089111328125
649517.6298098259,5585430.27458342,10,Forest,0.04122164611816406,0.05609298706054688,0.04270669860839844,0.08982279663085938,0.20190135498046874,0.2349961669921875,0.2101750732421875,0.2533890380859375,0.133017431640625,0.077419091796875
657079.8772288979,5580846.404467502,10,Forest,0.04236095886230469,0.07620418701171874,0.0456823486328125,0.1131982177734375,0.359572705078125,0.434990966796875,0.410931982421875,0.45453193359375,0.196268310546875,0.09776185913085937
656945.860362553,5592526.329106901,10,Forest,0.324817919921875,0.333778076171875,0.04463934020996094,0.1355217529296875,0.47966552734375,0.601757275390625,0.64405771484375,0.625681494140625,0.2277917236328125,0.10155086059570312
650412.4722678713,5579178.330309182,10,Forest,0.028161672973632812,0.054952294921875,0.024742218017578126,0.0774269775390625,0.2377227294921875,0.2796904296875,0.2994024169921875,0.3023766357421875,0.1366567626953125,0.06558156127929687
