complexity,loss,equation,score,sympy_format,lambda_format
1,0.21966316,0.3258081,0.0,0.325808100000000,PySRFunction(X=>0.325808100000000)
3,0.20708366,0.0918444 / B05,0.029486207959760643,0.0918444/B05,PySRFunction(X=>0.0918444/B05)
5,0.20528874,0.06573373 / (B05 - 0.065392755),0.004352695125757196,0.06573373/(B05 - 1*0.065392755),PySRFunction(X=>0.06573373/(B05 - 1*0.065392755))
6,0.20341258,square((0.10875587 / B04) + B02),0.009181145678605614,(B02 + 0.10875587/B04)**2,PySRFunction(X=>(B02 + 0.10875587/B04)**2)
7,0.20233081,(B12 - 0.5216576) + (0.15746696 / B05),0.00533229913221745,B12 - 1*0.5216576 + 0.15746696/B05,PySRFunction(X=>B12 - 1*0.5216576 + 0.15746696/B05)
8,0.20056027,(B12 + (0.019322822 / square(B05))) - 0.22390977,0.008789231064249624,B12 - 1*0.22390977 + 0.019322822/(B05**2),PySRFunction(X=>B12 - 1*0.22390977 + 0.019322822/(B05**2))
9,0.19852835,(((0.043888092 / B05) + -0.28282344) / B12) - -0.7663179,0.010182888991721796,-1*(-0.7663179) + (-0.28282344 + 0.043888092/B05)/B12,PySRFunction(X=>-1*(-0.7663179) + (-0.28282344 + 0.043888092/B05)/B12)
10,0.19848187,((tanh(0.04606604 / B05) + -0.28835133) / B12) - -0.7641733,0.00023415014461009663,-1*(-0.7641733) + (tanh(0.04606604/B05) - 0.28835133)/B12,PySRFunction(X=>-1*(-0.7641733) + (tanh(0.04606604/B05) - 0.28835133)/B12)
11,0.19777188,((-0.29415894 + (0.045976922 / B04)) / B12) - (-0.5816899 - B02),0.0035835156627938057,-(-B02 - 0.5816899) + (-0.29415894 + 0.045976922/B04)/B12,PySRFunction(X=>-(-B02 - 0.5816899) + (-0.29415894 + 0.045976922/B04)/B12)
12,0.19771637,(((0.045501567 / B04) + -0.29521853) / tanh(B12)) - (-0.6046876 - B02),0.00028071630631019284,(-0.29521853 + 0.045501567/B04)/tanh(B12) - (-B02 - 0.6046876),PySRFunction(X=>(-0.29521853 + 0.045501567/B04)/tanh(B12) - (-B02 - 0.6046876))
13,0.19753863,((((0.04894174 / B04) + -0.3730253) / B12) - -1.1051509) - (B12 - B02),0.0008993688225608233,-(-B02 + B12) - 1*(-1.1051509) + (-0.3730253 + 0.04894174/B04)/B12,PySRFunction(X=>-(-B02 + B12) - 1*(-1.1051509) + (-0.3730253 + 0.04894174/B04)/B12)
14,0.19749908,((tanh((0.04894174 / B04) + -0.3730253) / B12) - -1.1051509) - (B12 - B02),0.00020023404921089733,-(-B02 + B12) - 1*(-1.1051509) + tanh(-0.3730253 + 0.04894174/B04)/B12,PySRFunction(X=>-(-B02 + B12) - 1*(-1.1051509) + tanh(-0.3730253 + 0.04894174/B04)/B12)
15,0.19748428,((((0.0477295 / B04) + -0.3726987) / tanh(B12)) - -1.1506257) - (B12 - tanh(B02)),7.493986585620379e-05,(-0.3726987 + 0.0477295/B04)/tanh(B12) - (B12 - tanh(B02)) - 1*(-1.1506257),PySRFunction(X=>(-0.3726987 + 0.0477295/B04)/tanh(B12) - (B12 - tanh(B02)) - 1*(-1.1506257))
