complexity,loss,equation,score,sympy_format,lambda_format
1,0.21818657,B06,0.0,B06,PySRFunction(X=>B06)
2,0.21811816,tanh(B06),0.0003135881683455756,tanh(B06),PySRFunction(X=>tanh(B06))
3,0.2162718,0.47611827 - B02,0.008500984319192212,0.47611827 - B02,PySRFunction(X=>0.47611827 - B02)
4,0.18941385,log(B05 / B03),0.13260164624122678,log(B05/B03),PySRFunction(X=>log(B05/B03))
5,0.18084319,(B05 / B03) + -1.1356721,0.04630400156490646,-1.1356721 + B05/B03,PySRFunction(X=>-1.1356721 + B05/B03)
6,0.18010631,(B05 / tanh(B03)) + -1.157547,0.004083014514278133,B05/tanh(B03) - 1.157547,PySRFunction(X=>B05/tanh(B03) - 1.157547)
7,0.17959361,((B05 / B03) + B05) - 1.4333098,0.0028507114886600995,B05 - 1*1.4333098 + B05/B03,PySRFunction(X=>B05 - 1*1.4333098 + B05/B03)
8,0.17868808,(B05 * (1.2311465 / tanh(B03))) + -1.4999232,0.005054860203127166,B05*1.2311465/tanh(B03) - 1.4999232,PySRFunction(X=>B05*1.2311465/tanh(B03) - 1.4999232)
9,0.17393683,(((B05 / B03) + -1.1607016) * B05) / B12,0.026949528647061766,B05*(-1.1607016 + B05/B03)/B12,PySRFunction(X=>B05*(-1.1607016 + B05/B03)/B12)
10,0.17361178,tanh((B05 / B03) + -1.1444827) * (B05 / B12),0.001870530253457115,B05*tanh(-1.1444827 + B05/B03)/B12,PySRFunction(X=>B05*tanh(-1.1444827 + B05/B03)/B12)
11,0.17169352,((B05 / B03) + -1.2134169) * (B02 * (2.694684 / B12)),0.011110630120278985,(-1.2134169 + B05/B03)*B02*2.694684/B12,PySRFunction(X=>(-1.2134169 + B05/B03)*B02*2.694684/B12)
12,0.1711375,(((B05 / tanh(B03)) + -1.2437726) * (B02 * 2.7632422)) / B12,0.00324369998676179,(B05/tanh(B03) - 1.2437726)*B02*2.7632422/B12,PySRFunction(X=>(B05/tanh(B03) - 1.2437726)*B02*2.7632422/B12)
13,0.16978896,((((B05 / B03) + -1.1147003) * B02) * (3.0710683 / B12)) - 0.22343849,0.007911072864212257,(-1.1147003 + B05/B03)*B02*3.0710683/B12 - 1*0.22343849,PySRFunction(X=>(-1.1147003 + B05/B03)*B02*3.0710683/B12 - 1*0.22343849)
14,0.16885585,((((B05 / B03) * 2.2960713) + -1.8940101) * sqrt(B02 / B12)) - 0.73372525,0.005510861728625616,sqrt(B02/B12)*(-1.8940101 + 2.2960713*B05/B03) - 0.73372525,PySRFunction(X=>sqrt(B02/B12)*(-1.8940101 + 2.2960713*B05/B03) - 0.73372525)
15,0.16883494,((((B05 / B03) * 2.283191) + -1.8739206) * sqrt(B02 / tanh(B12))) - 0.7484822,0.0001238411034351091,sqrt(B02/tanh(B12))*(-1.8739206 + 2.283191*B05/B03) - 0.7484822,PySRFunction(X=>sqrt(B02/tanh(B12))*(-1.8739206 + 2.283191*B05/B03) - 0.7484822)
