complexity,loss,equation,score,sympy_format,lambda_format
1,0.03297961,0.034130543,0.0,0.0341305430000000,PySRFunction(X=>0.0341305430000000)
3,0.03283767,0.0065569696 / B03,0.0021565798532925816,0.0065569696/B03,PySRFunction(X=>0.0065569696/B03)
4,0.032771498,log(B11) * -0.033787854,0.0020171577983554155,-0.033787854*log(B11),PySRFunction(X=>-0.033787854*log(B11))
5,0.032330964,(0.5104191 - B11) * B12,0.013533765408127903,B12*(0.5104191 - B11),PySRFunction(X=>B12*(0.5104191 - B11))
6,0.032330886,B12 * tanh(0.51152635 - B11),2.41255083152503e-06,B12*tanh(0.51152635 - B11),PySRFunction(X=>B12*tanh(0.51152635 - B11))
7,0.032284953,square(B11 - sqrt(B12)) * 1.2848138,0.0014217259559858998,1.2848138*(B11 - sqrt(B12))**2,PySRFunction(X=>1.2848138*(B11 - sqrt(B12))**2)
8,0.032179706,square(B12) * ((0.47194526 - B11) / B03),0.0032652648798325635,B12**2*(0.47194526 - B11)/B03,PySRFunction(X=>B12**2*(0.47194526 - B11)/B03)
9,0.03205538,(B8A * square(B11 - sqrt(B12))) / B03,0.003870973419299293,B8A*(B11 - sqrt(B12))**2/B03,PySRFunction(X=>B8A*(B11 - sqrt(B12))**2/B03)
10,0.03202672,square(sqrt(tanh(B12)) - B11) * (B8A / B03),0.0008944776126525817,B8A*(-B11 + sqrt(tanh(B12)))**2/B03,PySRFunction(X=>B8A*(-B11 + sqrt(tanh(B12)))**2/B03)
11,0.03180121,square(B11 - tanh(sqrt(B8A))) * square(B12 / B03),0.007066215004464313,B12**2*(B11 - tanh(sqrt(B8A)))**2/B03**2,PySRFunction(X=>B12**2*(B11 - tanh(sqrt(B8A)))**2/B03**2)
12,0.03147149,(square(B12 / B03) * square(sqrt(B8A) - B11)) - 0.03248615,0.010422282741827828,-0.03248615 + B12**2*(-B11 + sqrt(B8A))**2/B03**2,PySRFunction(X=>-0.03248615 + B12**2*(-B11 + sqrt(B8A))**2/B03**2)
13,0.031456433,(square(B11 - sqrt(B8A)) * square(B12 / tanh(B03))) - 0.03248615,0.00047854750544833305,B12**2*(B11 - sqrt(B8A))**2/tanh(B03)**2 - 0.03248615,PySRFunction(X=>B12**2*(B11 - sqrt(B8A))**2/tanh(B03)**2 - 0.03248615)
14,0.031447355,(square((0.013019336 - B12) / B03) * square(sqrt(B8A) - B11)) - 0.025642358,0.00028863126853405515,-0.025642358 + (0.013019336 - B12)**2*(-B11 + sqrt(B8A))**2/B03**2,PySRFunction(X=>-0.025642358 + (0.013019336 - B12)**2*(-B11 + sqrt(B8A))**2/B03**2)
15,0.031189332,(square(tanh(sqrt(B8A)) - B11) * 4.417011) * square((B12 + -0.12010288) / B03),0.008238764591401646,4.417011*(-B11 + tanh(sqrt(B8A)))**2*(B12 - 0.12010288)**2/B03**2,PySRFunction(X=>4.417011*(-B11 + tanh(sqrt(B8A)))**2*(B12 - 0.12010288)**2/B03**2)
