complexity,loss,equation,score,sympy_format,lambda_format
1,0.2163048,B06,0.0,B06,PySRFunction(X=>B06)
3,0.2160442,0.5975826 - B12,0.0006027538668060146,0.5975826 - B12,PySRFunction(X=>0.5975826 - B12)
4,0.20958178,sqrt(B05 - B02),0.03036899519244904,sqrt(-B02 + B05),PySRFunction(X=>sqrt(-B02 + B05))
5,0.20288984,(B06 - B02) / 0.46894428,0.032450849537573934,(-B02 + B06)/0.46894428,PySRFunction(X=>(-B02 + B06)/0.46894428)
6,0.1875505,square((B05 - B02) / B12),0.07861502916989678,(-B02 + B05)**2/B12**2,PySRFunction(X=>(-B02 + B05)**2/B12**2)
7,0.18570688,((B06 - B02) / B12) - 0.2410838,0.009878625803955647,-1*0.2410838 + (-B02 + B06)/B12,PySRFunction(X=>-1*0.2410838 + (-B02 + B06)/B12)
9,0.1834001,(B05 / ((B12 / 3.3638268) + B02)) + -0.9565793,0.006249705798822951,B05/(B02 + B12/3.3638268) - 0.9565793,PySRFunction(X=>B05/(B02 + B12/3.3638268) - 0.9565793)
10,0.18318255,((B05 + -0.049522255) / (B02 + square(B12))) - 0.7584325,0.0011869084668328326,-1*0.7584325 + (B05 - 0.049522255)/(B02 + B12**2),PySRFunction(X=>-1*0.7584325 + (B05 - 0.049522255)/(B02 + B12**2))
11,0.18293974,((B05 + -0.045028493) / (B02 + square(tanh(B12)))) - 0.8001057,0.0013263876154497533,-1*0.8001057 + (B05 - 0.045028493)/(B02 + tanh(B12)**2),PySRFunction(X=>-1*0.8001057 + (B05 - 0.045028493)/(B02 + tanh(B12)**2))
12,0.18267603,(B05 / ((square(B12 / 1.2137997) + B02) + 0.031159114)) + -0.94347924,0.0014425529059143391,B05/(B02 + 0.678743913818704*B12**2 + 0.031159114) - 0.94347924,PySRFunction(X=>B05/(B02 + 0.678743913818704*B12**2 + 0.031159114) - 0.94347924)
13,0.18254147,(B05 / (tanh(B02 + 0.029351944) + square(B12 / 1.2201751))) + -0.96683323,0.0007368760045105008,B05/(0.671669586539756*B12**2 + tanh(B02 + 0.029351944)) - 0.96683323,PySRFunction(X=>B05/(0.671669586539756*B12**2 + tanh(B02 + 0.029351944)) - 0.96683323)
14,0.18247299,(B05 / (square(B12 / 1.2249215) + tanh(tanh(B02) + 0.028307043))) + -0.9829247,0.00037521801631332203,B05/(0.666474419382408*B12**2 + tanh(tanh(B02) + 0.028307043)) - 0.9829247,PySRFunction(X=>B05/(0.666474419382408*B12**2 + tanh(tanh(B02) + 0.028307043)) - 0.9829247)
15,0.18243848,(B05 / (tanh(tanh(tanh(B02))) + ((square(B12) + 0.040239044) / 1.4908807))) + -0.99137914,0.00018914176692173931,B05/((B12**2 + 0.040239044)/1.4908807 + tanh(tanh(tanh(B02)))) - 0.99137914,PySRFunction(X=>B05/((B12**2 + 0.040239044)/1.4908807 + tanh(tanh(tanh(B02)))) - 0.99137914)
