complexity,loss,equation,score,sympy_format,lambda_format
1,0.038101956,0.039643988,0.0,0.0396439880000000,PySRFunction(X=>0.0396439880000000)
2,0.037645593,square(B03),0.012049723795574322,B03**2,PySRFunction(X=>B03**2)
3,0.037569955,square(tanh(B03)),0.002011233780991362,tanh(B03)**2,PySRFunction(X=>tanh(B03)**2)
4,0.035624582,B03 - square(B11),0.05316875663434145,B03 - B11**2,PySRFunction(X=>B03 - B11**2)
5,0.0353824,B03 + (B11 * -0.46093008),0.006821383820699603,B03 + B11*(-0.46093008),PySRFunction(X=>B03 + B11*(-0.46093008))
6,0.034585234,-0.1638144 - (B03 * log(B11)),0.02278769339729557,-B03*log(B11) - 0.1638144,PySRFunction(X=>-B03*log(B11) - 0.1638144)
7,0.034548294,((B03 - 0.10797994) / B11) - B03,0.0010686566875492954,-B03 + (B03 - 1*0.10797994)/B11,PySRFunction(X=>-B03 + (B03 - 1*0.10797994)/B11)
8,0.03414664,((B03 * -1.4991169) * log(B11)) - 0.26542312,0.011693979563134232,-1.4991169*B03*log(B11) - 0.26542312,PySRFunction(X=>-1.4991169*B03*log(B11) - 0.26542312)
9,0.033882227,((B03 - 0.095124826) / B11) - (B03 * 1.2303696),0.00777359209908828,-1.2303696*B03 + (B03 - 1*0.095124826)/B11,PySRFunction(X=>-1.2303696*B03 + (B03 - 1*0.095124826)/B11)
10,0.033674058,((B03 * B03) / (square(B11) + 0.07991327)) - B02,0.006162850987651891,-B02 + B03*B03/(B11**2 + 0.07991327),PySRFunction(X=>-B02 + B03*B03/(B11**2 + 0.07991327))
11,0.033114403,((B03 - B02) * ((B02 / B11) * 15.183347)) - B07,0.016759424940741244,(-B02 + B03)*B02*15.183347/B11 - B07,PySRFunction(X=>(-B02 + B03)*B02*15.183347/B11 - B07)
12,0.032953724,(((B03 * B03) / (square(B11) + 0.11497228)) - B02) * 2.0233138,0.004864049401358236,(-B02 + B03*B03/(B11**2 + 0.11497228))*2.0233138,PySRFunction(X=>(-B02 + B03*B03/(B11**2 + 0.11497228))*2.0233138)
13,0.0327584,(((B03 * tanh(B03)) / (square(B11) + 0.11304403)) - B02) * 2.170644,0.005944856545812297,(-B02 + B03*tanh(B03)/(B11**2 + 0.11304403))*2.170644,PySRFunction(X=>(-B02 + B03*tanh(B03)/(B11**2 + 0.11304403))*2.170644)
14,0.032582235,((((B03 * B03) / (square(B11) + 0.15087982)) - B02) / B11) + 0.043777432,0.005392216553989021,0.043777432 + (-B02 + B03*B03/(B11**2 + 0.15087982))/B11,PySRFunction(X=>0.043777432 + (-B02 + B03*B03/(B11**2 + 0.15087982))/B11)
15,0.032091964,B03 * ((((B02 * (16.20789 / B11)) * (B03 - B02)) - B07) / B11),0.01516154507344239,B03*(B02*16.20789*(-B02 + B03)/B11 - B07)/B11,PySRFunction(X=>B03*(B02*16.20789*(-B02 + B03)/B11 - B07)/B11)
