complexity,loss,equation,score,sympy_format,lambda_format
1,0.12720081,B02,0.0,B02,PySRFunction(X=>B02)
2,0.12705511,tanh(B02),0.0011460894672448863,tanh(B02),PySRFunction(X=>tanh(B02))
3,0.124320686,B12 + -0.12635334,0.02175652472089887,B12 - 0.12635334,PySRFunction(X=>B12 - 0.12635334)
4,0.12119314,B12 - square(B07),0.025478933248860764,-B07**2 + B12,PySRFunction(X=>-B07**2 + B12)
5,0.11879843,(B12 * 1.6525655) - B08,0.019957280020266636,-B08 + B12*1.6525655,PySRFunction(X=>-B08 + B12*1.6525655)
6,0.11829033,B02 / square(B06 / B12),0.004286165045255167,B02/((B06**2/B12**2)),PySRFunction(X=>B02/((B06**2/B12**2)))
7,0.11654594,((B02 + B12) - B07) / 0.70482194,0.014856496267564228,(B02 - B07 + B12)/0.70482194,PySRFunction(X=>(B02 - B07 + B12)/0.70482194)
8,0.11489376,(tanh(B02 + B12) - B07) / 0.53200567,0.014277654754207057,(-B07 + tanh(B02 + B12))/0.53200567,PySRFunction(X=>(-B07 + tanh(B02 + B12))/0.53200567)
9,0.11141638,B12 * (-1.4002199 - (B12 / (B02 - B08))),0.030733520899802202,B12*(-B12/(B02 - B08) - 1.4002199),PySRFunction(X=>B12*(-B12/(B02 - B08) - 1.4002199))
10,0.10976324,B12 * (-1.371746 - (B12 / (tanh(B02) - B08))),0.014948671893838321,B12*(-B12/(-B08 + tanh(B02)) - 1.371746),PySRFunction(X=>B12*(-B12/(-B08 + tanh(B02)) - 1.371746))
11,0.10908486,(-1.3470745 - (B12 / (tanh(tanh(B02)) - B08))) * B12,0.006199571052023596,B12*(-B12/(-B08 + tanh(tanh(B02))) - 1.3470745),PySRFunction(X=>B12*(-B12/(-B08 + tanh(tanh(B02))) - 1.3470745))
12,0.10877845,B12 * (-1.3250034 - (B12 / (tanh(tanh(tanh(B02))) - B08))),0.002812866489835912,B12*(-B12/(-B08 + tanh(tanh(tanh(B02)))) - 1.3250034),PySRFunction(X=>B12*(-B12/(-B08 + tanh(tanh(tanh(B02)))) - 1.3250034))
13,0.10866044,B12 * (-1.3048521 - (B12 / (tanh(tanh(tanh(tanh(B02)))) - B08))),0.001085454507119036,B12*(-B12/(-B08 + tanh(tanh(tanh(tanh(B02))))) - 1.3048521),PySRFunction(X=>B12*(-B12/(-B08 + tanh(tanh(tanh(tanh(B02))))) - 1.3048521))
14,0.1085643,(-1.2613349 - (B12 / (tanh(tanh(tanh(B02))) - B08))) * (B12 + -0.030407324),0.0008851662686053887,(B12 - 0.030407324)*(-B12/(-B08 + tanh(tanh(tanh(B02)))) - 1.2613349),PySRFunction(X=>(B12 - 0.030407324)*(-B12/(-B08 + tanh(tanh(tanh(B02)))) - 1.2613349))
15,0.108434506,(-1.2535923 - (B12 / (tanh(tanh(tanh(B02))) - B08))) * (sqrt(B12) + -0.27740812),0.001196264789387552,(sqrt(B12) - 0.27740812)*(-B12/(-B08 + tanh(tanh(tanh(B02)))) - 1.2535923),PySRFunction(X=>(sqrt(B12) - 0.27740812)*(-B12/(-B08 + tanh(tanh(tanh(B02)))) - 1.2535923))
