complexity,loss,equation,score,sympy_format,lambda_format
1,0.11798099,B02,0.0,B02,PySRFunction(X=>B02)
3,0.11590502,B04 + -0.13511795,0.008876223591862846,B04 - 0.13511795,PySRFunction(X=>B04 - 0.13511795)
4,0.115127996,square(B03) / B12,0.006726544484817089,B03**2/B12,PySRFunction(X=>B03**2/B12)
5,0.115064256,square(tanh(B03)) / B12,0.0005537979760417214,tanh(B03)**2/B12,PySRFunction(X=>tanh(B03)**2/B12)
6,0.114634745,B03 / square(B12 / B03),0.0037397768272616643,B03/((B12**2/B03**2)),PySRFunction(X=>B03/((B12**2/B03**2)))
7,0.114597544,tanh(B03) / square(B12 / B03),0.0003245703342130955,tanh(B03)/((B12**2/B03**2)),PySRFunction(X=>tanh(B03)/((B12**2/B03**2)))
8,0.113789774,((B03 - B02) * B03) / square(B12),0.007073714734246055,B03*(-B02 + B03)/(B12**2),PySRFunction(X=>B03*(-B02 + B03)/(B12**2))
9,0.112797976,(((B03 + 0.7188811) * B03) - B02) / B12,0.008754262611607238,(-B02 + B03*(B03 + 0.7188811))/B12,PySRFunction(X=>(-B02 + B03*(B03 + 0.7188811))/B12)
10,0.11242419,square(B03 / B12) * ((B03 - B02) / 0.23710759),0.0033192678129506745,(B03**2/B12**2)*(-B02 + B03)/0.23710759,PySRFunction(X=>(B03**2/B12**2)*(-B02 + B03)/0.23710759)
11,0.11241541,tanh((B03 - B02) / 0.22718349) * square(B03 / B12),7.810012119274205e-05,(B03**2/B12**2)*tanh((-B02 + B03)/0.22718349),PySRFunction(X=>(B03**2/B12**2)*tanh((-B02 + B03)/0.22718349))
12,0.11210235,B03 * ((square((B03 - B02) / B12) / 0.07688216) + B02),0.0027887344225238095,B03*(B02 + ((-B02 + B03)**2/B12**2)/0.07688216),PySRFunction(X=>B03*(B02 + ((-B02 + B03)**2/B12**2)/0.07688216))
13,0.11198324,square(B02) + (square((B03 - B02) / B12) * (B03 / 0.07688216)),0.001063076043555426,B02**2 + B03*((-B02 + B03)**2/B12**2)/0.07688216,PySRFunction(X=>B02**2 + B03*((-B02 + B03)**2/B12**2)/0.07688216)
14,0.11161784,((B03 - B02) * (square((B03 / B12) - B12) + B12)) / 0.19978298,0.0032683234380170363,(-B02 + B03)*(B12 + (B03/B12 - B12)**2)/0.19978298,PySRFunction(X=>(-B02 + B03)*(B12 + (B03/B12 - B12)**2)/0.19978298)
15,0.111543775,(B03 - tanh(B02)) * ((square((B03 / B12) - B12) + B12) / 0.20779794),0.0006637790528575914,(B03 - tanh(B02))*(B12 + (B03/B12 - B12)**2)/0.20779794,PySRFunction(X=>(B03 - tanh(B02))*(B12 + (B03/B12 - B12)**2)/0.20779794)
