complexity,loss,equation,score,sympy_format,lambda_format
1,0.12033411,B03,0.0,B03,PySRFunction(X=>B03)
2,0.11856641,square(B06),0.014798898399186461,B06**2,PySRFunction(X=>B06**2)
3,0.11567995,B04 + -0.13462406,0.024645899354856053,B04 - 0.13462406,PySRFunction(X=>B04 - 0.13462406)
4,0.11502402,square(B03) / B12,0.00568635006527177,B03**2/B12,PySRFunction(X=>B03**2/B12)
5,0.114933565,square(tanh(B03)) / B12,0.0007867103376070238,tanh(B03)**2/B12,PySRFunction(X=>tanh(B03)**2/B12)
6,0.11459903,B03 * square(B03 / B12),0.002914925759218058,B03*(B03**2/B12**2),PySRFunction(X=>B03*(B03**2/B12**2))
7,0.11428724,B03 * ((B04 / B12) + -0.3382463),0.002724411497928246,B03*(B04/B12 - 0.3382463),PySRFunction(X=>B03*(B04/B12 - 0.3382463))
8,0.1142164,(square(B03 / B12) * B04) * 0.78505886,0.0006200339064138378,(B03**2/B12**2)*B04*0.78505886,PySRFunction(X=>(B03**2/B12**2)*B04*0.78505886)
9,0.11408886,B04 * (square(tanh(B03) / B12) * 0.8304841),0.0011172761702241015,B04*(tanh(B03)**2/B12**2)*0.8304841,PySRFunction(X=>B04*(tanh(B03)**2/B12**2)*0.8304841)
10,0.113705724,(((B04 * 0.34795412) + -0.04561712) / square(B12)) * B03,0.00336387594962637,B03*(B04*0.34795412 - 0.04561712)/(B12**2),PySRFunction(X=>B03*(B04*0.34795412 - 0.04561712)/(B12**2))
11,0.113661274,((B03 * 0.32495466) * (B04 + -0.12855302)) / square(tanh(B12)),0.0003909978225272544,B03*0.32495466*(B04 - 0.12855302)/tanh(B12)**2,PySRFunction(X=>B03*0.32495466*(B04 - 0.12855302)/tanh(B12)**2)
12,0.1131459,B12 - (((B03 / square(B12)) * (B04 * -0.2708337)) + 0.34719455),0.004544608337840976,B12 - (B03*B04*(-0.2708337)/B12**2 + 0.34719455),PySRFunction(X=>B12 - (B03*B04*(-0.2708337)/B12**2 + 0.34719455))
13,0.112990215,square(B12) - ((((B03 * -0.25252232) * B04) / square(B12)) + 0.13647279),0.0013769142942677067,B12**2 - (B03*(-0.25252232)*B04/B12**2 + 0.13647279),PySRFunction(X=>B12**2 - (B03*(-0.25252232)*B04/B12**2 + 0.13647279))
14,0.11259909,(B12 - (B03 * (((B04 / square(B12)) * -0.31807494) + 0.47041884))) + -0.2878249,0.003467588074821407,-B03*(B04*(-0.31807494)/B12**2 + 0.47041884) + B12 - 0.2878249,PySRFunction(X=>-B03*(B04*(-0.31807494)/B12**2 + 0.47041884) + B12 - 0.2878249)
15,0.112566195,(B12 + -0.27584702) - (((B04 * (-0.31813237 / square(tanh(B12)))) + 0.59251064) * B03),0.0002921853627128324,-B03*(B04*(-0.31813237)/tanh(B12)**2 + 0.59251064) + B12 - 0.27584702,PySRFunction(X=>-B03*(B04*(-0.31813237)/tanh(B12)**2 + 0.59251064) + B12 - 0.27584702)
