complexity,loss,equation,score,sympy_format,lambda_format
1,0.12974669,B02,0.0,B02,PySRFunction(X=>B02)
2,0.1296319,tanh(B02),0.0008851155177777284,tanh(B02),PySRFunction(X=>tanh(B02))
3,0.12769896,B12 - 0.12348327,0.015023276687892172,B12 - 1*0.12348327,PySRFunction(X=>B12 - 1*0.12348327)
4,0.12447111,B12 - square(B07),0.02560197813298118,-B07**2 + B12,PySRFunction(X=>-B07**2 + B12)
5,0.12229408,B12 + (B02 - B08),0.017645004823201995,B02 - B08 + B12,PySRFunction(X=>B02 - B08 + B12)
6,0.12152541,square(B12 / B06) * B02,0.00630525924421274,B02*(B12**2/B06**2),PySRFunction(X=>B02*(B12**2/B06**2))
7,0.11977037,(B12 + (B02 - B07)) * 1.4216951,0.014547050508180937,(B02 - B07 + B12)*1.4216951,PySRFunction(X=>(B02 - B07 + B12)*1.4216951)
8,0.11805618,(B02 - square(B08)) * (B12 * 12.278609),0.014415713348919714,(B02 - B08**2)*B12*12.278609,PySRFunction(X=>(B02 - B08**2)*B12*12.278609)
9,0.11638979,(B12 * 2.1442933) - ((B08 - B02) * 2.9164622),0.014215796186589129,B12*2.1442933 - 2.9164622*(-B02 + B08),PySRFunction(X=>B12*2.1442933 - 2.9164622*(-B02 + B08))
10,0.11502818,(((B02 * B12) * 3.3099189) - square(B08)) / B06,0.011767674850277663,(B02*B12*3.3099189 - B08**2)/B06,PySRFunction(X=>(B02*B12*3.3099189 - B08**2)/B06)
12,0.112787165,((B02 - square(B08)) * (B12 * B12)) * (12.278609 / B06),0.009837297347176317,(B02 - B08**2)*B12*B12*12.278609/B06,PySRFunction(X=>(B02 - B08**2)*B12*B12*12.278609/B06)
13,0.11252543,(tanh(B02) - square(B08)) * (B12 * ((B12 * 12.278609) / B06)),0.0023233065841857547,(-B08**2 + tanh(B02))*B12*B12*12.278609/B06,PySRFunction(X=>(-B08**2 + tanh(B02))*B12*B12*12.278609/B06)
14,0.11138141,(((B12 * B12) / B08) + -0.064047806) * ((B02 - square(B08)) * 15.623263),0.010218803098991345,(-0.064047806 + B12*B12/B08)*(B02 - B08**2)*15.623263,PySRFunction(X=>(-0.064047806 + B12*B12/B08)*(B02 - B08**2)*15.623263)
15,0.11045011,((((B12 * tanh(B12)) / B08) + -0.11689991) * (B02 - square(B08))) * 21.820448,0.008396511654343257,(-0.11689991 + B12*tanh(B12)/B08)*(B02 - B08**2)*21.820448,PySRFunction(X=>(-0.11689991 + B12*tanh(B12)/B08)*(B02 - B08**2)*21.820448)
