complexity,loss,equation,score,sympy_format,lambda_format
1,0.12077968,B03,0.0,B03,PySRFunction(X=>B03)
2,0.11890533,square(B06),0.01564042915275611,B06**2,PySRFunction(X=>B06**2)
3,0.11624866,B04 + -0.13480134,0.02259611275890657,B04 - 0.13480134,PySRFunction(X=>B04 - 0.13480134)
4,0.11548151,square(B03) / B12,0.006621086952772953,B03**2/B12,PySRFunction(X=>B03**2/B12)
5,0.115354076,square(tanh(B03)) / B12,0.001104110636960496,tanh(B03)**2/B12,PySRFunction(X=>tanh(B03)**2/B12)
6,0.115176834,(square(B03) / B12) - 0.017457286,0.0015376856398451615,B03**2/B12 - 1*0.017457286,PySRFunction(X=>B03**2/B12 - 1*0.017457286)
7,0.11475026,B03 * ((B04 / B12) + -0.34290507),0.003710519556437008,B03*(B04/B12 - 0.34290507),PySRFunction(X=>B03*(B04/B12 - 0.34290507))
9,0.11459848,(((B04 * 0.42258793) / B12) + B12) + -0.56171364,0.0006617870329610966,B04*0.42258793/B12 + B12 - 0.56171364,PySRFunction(X=>B04*0.42258793/B12 + B12 - 0.56171364)
10,0.11435678,(((B04 + -0.12566923) * 0.33312753) * B03) / square(B12),0.002111330307814831,(B04 - 0.12566923)*0.33312753*B03/B12**2,PySRFunction(X=>(B04 - 0.12566923)*0.33312753*B03/B12**2)
11,0.114314824,((tanh(B04) + -0.12946528) * 0.3631053) * (B03 / square(B12)),0.0003669541800284367,(tanh(B04) - 0.12946528)*0.3631053*B03/B12**2,PySRFunction(X=>(tanh(B04) - 0.12946528)*0.3631053*B03/B12**2)
12,0.112611935,(square(B12) + (((B04 / B12) + -1.1871705) * B03)) / B06,0.01500855141957423,(B03*(B04/B12 - 1.1871705) + B12**2)/B06,PySRFunction(X=>(B03*(B04/B12 - 1.1871705) + B12**2)/B06)
14,0.11254009,(square(B12 / 1.0502096) + (((B04 / B12) + -1.1513239) * B03)) / B06,0.0003190955197425464,(B03*(B04/B12 - 1.1513239) + 0.906667466137183*B12**2)/B06,PySRFunction(X=>(B03*(B04/B12 - 1.1513239) + 0.906667466137183*B12**2)/B06)
