complexity,loss,equation,score,sympy_format,lambda_format
1,0.21600166,B06,0.0,B06,PySRFunction(X=>B06)
2,0.21598418,tanh(B06),8.092857862913866e-05,tanh(B06),PySRFunction(X=>tanh(B06))
3,0.21514726,0.47068113 - B02,0.003882440358629066,0.47068113 - B02,PySRFunction(X=>0.47068113 - B02)
4,0.20914353,sqrt(B05 - B02),0.02830196122867814,sqrt(-B02 + B05),PySRFunction(X=>sqrt(-B02 + B05))
5,0.19848809,log(sqrt(B06 / B02)),0.052291664346709954,log(sqrt(B06/B02)),PySRFunction(X=>log(sqrt(B06/B02)))
6,0.1914684,log((B05 / B02) * 0.69579047),0.036006316377454745,log(0.69579047*B05/B02),PySRFunction(X=>log(0.69579047*B05/B02))
7,0.18345793,((B06 - B02) / B12) + -0.23922029,0.042737405045348974,-0.23922029 + (-B02 + B06)/B12,PySRFunction(X=>-0.23922029 + (-B02 + B06)/B12)
9,0.1823138,(((B06 - B02) * 1.2210168) / B12) + -0.36265683,0.00312799934410388,-0.36265683 + (-B02 + B06)*1.2210168/B12,PySRFunction(X=>-0.36265683 + (-B02 + B06)*1.2210168/B12)
10,0.18174289,-0.3682428 + (((tanh(B06) - B02) / 0.759066) / B12),0.003136382237603332,-0.3682428 + (-B02 + tanh(B06))/(0.759066*B12),PySRFunction(X=>-0.3682428 + (-B02 + tanh(B06))/(0.759066*B12))
12,0.18145716,(B05 * (sqrt((B12 / B02) + -0.31832778) / B12)) - 1.0045531,0.0007867015958451024,B05*sqrt(-0.31832778 + B12/B02)/B12 - 1.0045531,PySRFunction(X=>B05*sqrt(-0.31832778 + B12/B02)/B12 - 1.0045531)
13,0.18081723,(sqrt(tanh(B12) / B02) * ((B05 / B12) + 0.2862228)) - 1.5103494,0.0035328506968555933,sqrt(tanh(B12)/B02)*(B05/B12 + 0.2862228) - 1.5103494,PySRFunction(X=>sqrt(tanh(B12)/B02)*(B05/B12 + 0.2862228) - 1.5103494)
