complexity,loss,equation,score,sympy_format,lambda_format
1,0.031033594,0.031966258,0.0,0.0319662580000000,PySRFunction(X=>0.0319662580000000)
3,0.030841568,0.0063477154 / B03,0.0031034523431830554,0.0063477154/B03,PySRFunction(X=>0.0063477154/B03)
4,0.030806025,square(B03 + -0.37171835),0.0011531027314659512,(B03 - 0.37171835)**2,PySRFunction(X=>(B03 - 0.37171835)**2)
5,0.030470856,B12 * (0.50272447 - B11),0.010939601922714488,B12*(0.50272447 - B11),PySRFunction(X=>B12*(0.50272447 - B11))
6,0.030467672,tanh(0.50383675 - B11) * B12,0.00010449875004851016,B12*tanh(0.50383675 - B11),PySRFunction(X=>B12*tanh(0.50383675 - B11))
7,0.030400066,(B12 * (0.6361987 - B11)) + -0.038850367,0.0022214075969442244,B12*(0.6361987 - B11) - 0.038850367,PySRFunction(X=>B12*(0.6361987 - B11) - 0.038850367)
8,0.030317752,(B12 * square(B11 + -1.0576472)) - 0.09762861,0.0027113639171806375,B12*(B11 - 1.0576472)**2 - 1*0.09762861,PySRFunction(X=>B12*(B11 - 1.0576472)**2 - 1*0.09762861)
9,0.030127143,(square(sqrt(B12) - B11) * B12) / B03,0.006306889335102016,B12*(-B11 + sqrt(B12))**2/B03,PySRFunction(X=>B12*(-B11 + sqrt(B12))**2/B03)
10,0.030073712,B12 * (square(sqrt(tanh(B12)) - B11) / B03),0.0017750915341605998,B12*(-B11 + sqrt(tanh(B12)))**2/B03,PySRFunction(X=>B12*(-B11 + sqrt(tanh(B12)))**2/B03)
11,0.029675735,square((B12 - 0.1085883) / B03) * square(B11 - 0.5815465),0.013321726163501064,((B12 - 1*0.1085883)**2/B03**2)*(B11 - 1*0.5815465)**2,PySRFunction(X=>((B12 - 1*0.1085883)**2/B03**2)*(B11 - 1*0.5815465)**2)
13,0.02941083,square((B12 - 0.14260423) / B03) * (square(B11 - 0.4894231) * 4.383821),0.004483367325762936,((B12 - 1*0.14260423)**2/B03**2)*(B11 - 1*0.4894231)**2*4.383821,PySRFunction(X=>((B12 - 1*0.14260423)**2/B03**2)*(B11 - 1*0.4894231)**2*4.383821)
